,ST,ST_conf,S1,S1_conf,S2,S2_conf
depth,,,,,,
lr,,,,,,
timesteps,,,,,,
w1,,,,,,
w2,,,,,,
w3,,,,,,
w4,,,,,,
width,,,,,,
"('timesteps', 'depth')",,,,,,
"('timesteps', 'width')",,,,,,
"('timesteps', 'lr')",,,,,,
"('timesteps', 'w1')",,,,,,
"('timesteps', 'w2')",,,,,,
"('timesteps', 'w3')",,,,,,
"('timesteps', 'w4')",,,,,,
"('depth', 'width')",,,,,,
"('depth', 'lr')",,,,,,
"('depth', 'w1')",,,,,,
"('depth', 'w2')",,,,,,
"('depth', 'w3')",,,,,,
"('depth', 'w4')",,,,,,
"('width', 'lr')",,,,,,
"('width', 'w1')",,,,,,
"('width', 'w2')",,,,,,
"('width', 'w3')",,,,,,
"('width', 'w4')",,,,,,
"('lr', 'w1')",,,,,,
"('lr', 'w2')",,,,,,
"('lr', 'w3')",,,,,,
"('lr', 'w4')",,,,,,
"('w1', 'w2')",,,,,,
"('w1', 'w3')",,,,,,
"('w1', 'w4')",,,,,,
"('w2', 'w3')",,,,,,
"('w2', 'w4')",,,,,,
"('w3', 'w4')",,,,,,
